Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,91.400002,92.360001,90.900002,91.889999,89.856842,2956200
2016-11-15,92.129997,92.620003,91.879997,92.339996,90.296890,2034100
2016-11-16,92.339996,93.349998,91.599998,93.269997,91.206299,1960900
2016-11-17,93.150002,94.430000,93.089996,94.379997,92.291756,2031800
2016-11-18,94.309998,94.599998,93.949997,94.389999,92.301537,1636600
2016-11-21,94.470001,95.620003,94.379997,95.589996,93.474976,2252000
2016-11-22,95.650002,96.589996,95.339996,96.389999,94.257278,2433500
2016-11-23,96.589996,97.430000,96.470001,96.650002,94.511536,2913000
2016-11-25,96.680000,97.150002,96.500000,96.919998,94.775551,724400
2016-11-28,96.629997,96.940002,96.000000,96.570000,94.433296,1968300
2016-11-29,96.709999,97.370003,96.430000,97.040001,94.892899,1590600
2016-11-30,97.139999,97.540001,96.010002,96.019997,93.895462,2812500
2016-12-01,95.989998,96.199997,95.199997,95.769997,93.651001,2056600
2016-12-02,95.459999,96.099998,94.989998,95.239998,93.132721,1711200
2016-12-05,95.860001,96.220001,95.449997,96.050003,93.924805,2485700
2016-12-06,96.150002,96.449997,95.150002,96.000000,93.875916,1817800
2016-12-07,95.330002,97.720001,95.330002,97.570000,95.981064,2245300
2016-12-08,97.529999,98.360001,97.360001,98.190002,96.590958,2075600
2016-12-09,98.070000,98.300003,97.570000,98.220001,96.620476,3350600
2016-12-12,98.129997,98.550003,97.839996,98.059998,96.463074,1769800
2016-12-13,98.639999,99.250000,98.040001,98.400002,96.797546,2093800
2016-12-14,98.400002,98.849998,97.519997,97.690002,96.099113,1896900
2016-12-15,97.820000,99.129997,97.510002,98.760002,97.151688,1718000
2016-12-16,100.320000,101.580002,99.339996,100.849998,99.207642,5661500
2016-12-19,100.720001,101.599998,100.580002,101.089996,99.443726,1993200
2016-12-20,101.739998,102.660004,101.400002,102.330002,100.663551,2396900
2016-12-21,102.260002,102.820000,101.690002,102.470001,100.801270,2042900
2016-12-22,102.639999,102.809998,101.889999,102.599998,100.929146,1567900
2016-12-23,102.519997,102.959999,102.510002,102.930000,101.253769,778000
2016-12-27,102.860001,103.779999,102.779999,103.309998,101.627579,930000
2016-12-28,103.529999,103.879997,103.019997,103.050003,101.371819,1559100
2016-12-29,103.269997,103.849998,103.000000,103.449997,101.765305,1264500
2016-12-30,103.379997,103.440002,102.000000,102.779999,101.106216,2008400
2017-01-03,102.379997,103.580002,102.309998,103.500000,101.814491,2227400
2017-01-04,103.410004,103.980003,103.250000,103.660004,101.971886,2498500
2017-01-05,103.459999,103.889999,102.400002,103.040001,101.361984,2215300
2017-01-06,103.230003,103.269997,102.269997,103.110001,101.430840,2016500
2017-01-09,102.949997,103.239998,102.470001,102.470001,100.801270,1379200
2017-01-10,102.250000,103.040001,102.040001,102.199997,100.535652,1638700
2017-01-11,102.269997,103.580002,102.269997,103.199997,101.519379,1783800
2017-01-12,102.980003,103.919998,102.239998,103.800003,102.109612,1546400
2017-01-13,103.769997,104.089996,103.169998,103.769997,102.080093,1627600
2017-01-17,103.320000,103.540001,102.889999,103.070000,101.391502,1275200
2017-01-18,103.489998,103.489998,102.730003,102.910004,101.234100,1485300
2017-01-19,102.790001,103.269997,102.699997,102.970001,101.293121,1531000
2017-01-20,103.000000,103.739998,102.800003,103.239998,101.558723,1653200
2017-01-23,102.809998,103.099998,101.860001,102.199997,100.535652,1486700
2017-01-24,102.250000,103.349998,102.139999,103.239998,101.558723,1687900
2017-01-25,103.459999,103.650002,102.379997,102.699997,101.027519,1979300
2017-01-26,102.410004,102.660004,102.000000,102.040001,100.378273,2119600
2017-01-27,101.440002,102.150002,101.180000,101.709999,100.053635,1804500
2017-01-30,101.559998,102.010002,100.900002,101.970001,100.309410,1648300
2017-01-31,101.790001,102.129997,100.769997,100.989998,99.345367,2609800
2017-02-01,96.029999,97.320000,94.110001,95.250000,93.698845,8013700
2017-02-02,95.230003,97.190002,95.029999,96.320000,94.751411,3975500
2017-02-03,97.209999,97.400002,96.510002,96.870003,95.292465,2936000
2017-02-06,96.680000,97.070000,96.070000,96.470001,94.898979,1770600
2017-02-07,96.500000,96.860001,95.910004,96.290001,94.721916,1521400
2017-02-08,96.190002,97.059998,96.050003,96.580002,95.007187,1297300
2017-02-09,96.769997,97.989998,96.309998,97.650002,96.059761,3380800
2017-02-10,97.699997,98.300003,97.459999,97.820000,96.226982,1214700
2017-02-13,98.059998,98.599998,98.059998,98.580002,96.974617,1500800
2017-02-14,98.419998,99.599998,98.320000,99.440002,97.820618,1614900
2017-02-15,98.889999,99.660004,98.540001,99.650002,98.027191,1579800
2017-02-16,99.589996,99.879997,99.190002,99.879997,98.253441,1314700
2017-02-17,99.599998,99.699997,98.820000,99.680000,98.056709,1577500
2017-02-21,99.389999,99.589996,98.750000,99.220001,97.604187,2099400
2017-02-22,99.089996,100.680000,99.089996,100.419998,98.784653,1677400
2017-02-23,100.790001,101.779999,100.489998,101.639999,99.984772,1459300
2017-02-24,101.629997,103.010002,101.300003,103.000000,101.322632,1774500
2017-02-27,102.930000,103.139999,102.470001,102.699997,101.027519,1188300
2017-02-28,102.680000,102.809998,102.239998,102.620003,100.948822,2060700
2017-03-01,103.660004,104.709999,103.230003,104.529999,102.827721,1828200
2017-03-02,104.139999,104.370003,103.860001,104.070000,102.375206,1697200
2017-03-03,103.949997,104.610001,103.629997,104.500000,102.798210,1216400
2017-03-06,103.879997,105.000000,103.879997,104.949997,103.240875,1678300
2017-03-07,104.540001,104.849998,103.900002,104.269997,102.571945,1881500
2017-03-08,103.620003,104.129997,103.339996,103.709999,102.581841,1577200
2017-03-09,103.570000,104.080002,102.919998,103.400002,102.275215,1393800
2017-03-10,103.870003,104.629997,103.540001,104.550003,103.412712,1556800
2017-03-13,104.489998,104.900002,104.139999,104.839996,103.699547,1802700
2017-03-14,104.660004,104.760002,103.690002,103.970001,102.839012,1848300
2017-03-15,104.269997,104.790001,103.660004,104.669998,103.531395,1500200
2017-03-16,104.650002,104.889999,103.900002,104.250000,103.115967,1231100
2017-03-17,104.309998,105.199997,104.029999,105.110001,103.966621,2890300
2017-03-20,105.169998,105.180000,104.220001,104.449997,103.313789,1323400
2017-03-21,104.900002,104.959999,102.989998,103.120003,101.998268,1612700
