Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,160.610001,164.729996,160.610001,161.729996,161.729996,1866000
2016-11-15,163.990005,167.979996,163.800003,164.440002,164.440002,1784800
2016-11-16,164.210007,168.410004,163.139999,166.740005,166.740005,2009600
2016-11-17,167.509995,168.350006,165.520004,166.210007,166.210007,1471600
2016-11-18,165.929993,167.000000,163.929993,164.380005,164.380005,1506700
2016-11-21,165.000000,167.250000,164.500000,165.690002,165.690002,1291100
2016-11-22,167.500000,167.500000,163.559998,164.470001,164.470001,1595300
2016-11-23,163.360001,164.639999,161.690002,163.630005,163.630005,1421200
2016-11-25,165.000000,165.600006,163.619995,164.440002,164.440002,924600
2016-11-28,165.130005,168.000000,164.059998,167.000000,167.000000,2219500
2016-11-29,166.009995,171.240005,166.000000,169.179993,169.179993,2548600
2016-11-30,169.990005,171.550003,166.490005,166.949997,166.949997,2579700
2016-12-01,167.520004,167.820007,161.800003,163.080002,163.080002,2275200
2016-12-02,162.949997,163.880005,160.789993,161.669998,161.669998,1948900
2016-12-05,161.720001,165.389999,161.559998,164.320007,164.320007,1413600
2016-12-06,165.009995,165.740005,163.550003,165.169998,165.169998,1280500
2016-12-07,165.539993,169.559998,164.369995,169.330002,169.330002,1857100
2016-12-08,168.919998,169.740005,166.330002,167.750000,167.750000,1944500
2016-12-09,168.490005,171.100006,168.339996,170.820007,170.820007,2375800
2016-12-12,168.630005,169.279999,167.009995,168.479996,168.479996,2931900
2016-12-13,169.330002,173.000000,169.000000,171.460007,171.460007,3170500
2016-12-14,170.899994,172.539993,169.630005,169.830002,169.830002,1497300
2016-12-15,169.210007,169.630005,165.619995,165.779999,165.779999,2031800
2016-12-16,166.419998,167.919998,164.649994,164.929993,164.929993,2318500
2016-12-19,164.440002,164.929993,162.339996,163.690002,163.690002,1927900
2016-12-20,164.259995,167.009995,164.000000,165.279999,165.279999,1506500
2016-12-21,165.000000,165.990005,163.800003,163.919998,163.919998,1342800
2016-12-22,163.289993,165.270004,162.020004,162.889999,162.889999,1496500
2016-12-23,163.279999,164.619995,162.529999,163.619995,163.619995,1049000
2016-12-27,163.630005,166.470001,163.070007,164.770004,164.770004,940600
2016-12-28,165.119995,167.009995,164.759995,165.539993,165.539993,1670200
2016-12-29,165.610001,167.589996,165.460007,166.500000,166.500000,1586900
2016-12-30,166.759995,167.229996,163.559998,164.410004,164.410004,1503000
2017-01-03,166.300003,169.660004,165.820007,168.300003,168.300003,2314700
2017-01-04,169.740005,173.259995,168.300003,171.960007,171.960007,2033200
2017-01-05,172.649994,177.839996,172.500000,177.470001,177.470001,2733000
2017-01-06,176.279999,177.279999,173.250000,176.380005,176.380005,2254700
2017-01-09,178.000000,179.720001,176.820007,177.160004,177.160004,1759000
2017-01-10,179.830002,183.000000,178.300003,180.309998,180.309998,2922300
2017-01-11,179.570007,180.179993,176.800003,179.320007,179.320007,1929900
2017-01-12,178.800003,179.470001,175.660004,177.570007,177.570007,2680100
2017-01-13,178.000000,178.710007,176.360001,176.479996,176.479996,1411900
2017-01-17,175.580002,178.279999,174.490005,176.960007,176.960007,2065900
2017-01-18,178.589996,180.779999,174.729996,176.539993,176.539993,2005000
2017-01-19,176.839996,176.839996,174.429993,176.089996,176.089996,1430500
2017-01-20,175.300003,176.460007,173.130005,173.440002,173.440002,2048400
2017-01-23,173.940002,176.179993,173.279999,175.970001,175.970001,2100600
