Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,150.919998,152.139999,149.500000,152.000000,144.818085,3890800
2016-11-15,151.979996,152.000000,150.289993,151.149994,144.008255,2799900
2016-11-16,152.190002,152.550003,151.800003,152.139999,144.951477,2151200
2016-11-17,151.229996,151.399994,149.550003,151.199997,144.055893,2098700
2016-11-18,150.839996,151.199997,149.520004,150.360001,143.255569,2020500
2016-11-21,150.550003,151.289993,150.119995,151.169998,144.027298,1181200
2016-11-22,151.929993,153.050003,151.210007,152.669998,145.456421,1954200
2016-11-23,152.750000,153.339996,151.179993,151.600006,144.436996,2166900
2016-11-25,151.889999,153.419998,151.710007,151.880005,144.703766,886800
2016-11-28,151.050003,152.429993,151.009995,151.250000,144.103531,1733500
2016-11-29,151.619995,152.220001,151.330002,151.479996,144.322647,1496800
2016-11-30,151.130005,151.539993,150.070007,150.110001,143.017395,2750500
2016-12-01,150.110001,152.880005,150.110001,151.740005,144.570374,2305200
2016-12-02,151.990005,152.869995,151.429993,152.089996,144.903824,1829200
2016-12-05,152.089996,152.229996,150.779999,151.770004,144.598953,2432100
2016-12-06,151.850006,152.080002,150.419998,151.009995,143.874863,2245400
2016-12-07,150.600006,153.910004,150.479996,153.850006,146.580688,2811300
2016-12-08,156.639999,160.899994,156.600006,157.589996,150.143951,5504300
2016-12-09,157.279999,159.830002,157.259995,159.699997,152.154266,2614700
2016-12-12,158.600006,161.279999,158.559998,160.330002,152.754486,2299200
2016-12-13,160.850006,162.039993,159.139999,159.770004,152.220963,3583300
2016-12-14,160.050003,160.449997,158.250000,158.990005,151.477829,2119100
2016-12-15,159.350006,161.500000,159.070007,160.110001,152.544891,1811100
2016-12-16,160.490005,161.250000,159.850006,160.410004,152.830704,3751400
2016-12-19,162.009995,164.529999,161.649994,163.460007,155.736618,3231900
2016-12-20,164.320007,164.949997,163.500000,163.860001,156.117706,2204600
2016-12-21,163.600006,164.029999,163.020004,163.039993,155.336441,1313400
2016-12-22,163.660004,163.669998,161.919998,162.070007,154.412292,1965900
2016-12-23,162.169998,162.669998,161.529999,162.080002,154.421814,1254100
2016-12-27,162.059998,162.759995,161.800003,162.050003,154.393234,1301100
2016-12-28,162.020004,162.850006,160.550003,161.009995,153.402359,1281000
2016-12-29,160.649994,161.440002,160.649994,161.130005,153.516693,857200
2016-12-30,160.889999,160.990005,159.669998,160.110001,152.544891,1472300
2017-01-03,160.649994,160.990005,158.509995,159.729996,152.182846,2099000
2017-01-04,159.800003,160.490005,158.940002,159.759995,152.211441,2163600
2017-01-05,160.949997,163.350006,160.630005,162.910004,155.212601,2880900
2017-01-06,162.669998,162.949997,161.130005,162.830002,155.136368,2167000
2017-01-09,162.330002,162.479996,160.720001,160.970001,153.364258,2318300
2017-01-10,160.580002,162.410004,160.509995,161.660004,154.021652,1477900
2017-01-11,161.470001,162.380005,160.350006,161.539993,153.907303,1378300
2017-01-12,161.350006,161.960007,160.669998,161.869995,154.221725,1296900
2017-01-13,161.990005,162.130005,161.350006,161.860001,154.212219,1250100
2017-01-17,161.850006,164.250000,161.669998,163.809998,156.070068,2429100
2017-01-18,163.649994,164.380005,162.589996,164.270004,156.508331,1834700
2017-01-19,164.179993,164.800003,163.559998,163.699997,155.965256,1980400
2017-01-20,164.389999,164.770004,163.229996,164.240005,156.479752,1897100
2017-01-23,164.050003,164.350006,162.169998,163.009995,155.307861,1421600
2017-01-24,163.229996,163.820007,162.960007,163.669998,155.936661,1347400
2017-01-25,164.199997,164.750000,163.899994,164.139999,156.384476,1299200
2017-01-26,164.339996,164.440002,163.399994,164.070007,156.317795,1180000
2017-01-27,164.559998,164.580002,160.710007,162.059998,154.402756,2341100
2017-01-30,162.029999,163.289993,160.600006,163.250000,155.536530,2149800
2017-01-31,162.490005,164.000000,162.350006,163.949997,156.203430,1796600
2017-02-01,163.839996,163.949997,161.809998,161.860001,154.212219,2219700
2017-02-02,166.839996,168.880005,166.160004,168.149994,160.205002,5816300
2017-02-03,167.720001,168.839996,167.149994,168.320007,160.366989,3227700
2017-02-06,168.179993,168.179993,166.710007,167.029999,159.137909,2172800
2017-02-07,167.529999,168.080002,166.529999,167.520004,159.604782,2732600
2017-02-08,167.500000,168.570007,167.500000,168.419998,160.894455,2089900
2017-02-09,168.449997,171.419998,168.169998,170.960007,163.320969,2606900
2017-02-10,171.649994,172.270004,170.270004,172.000000,164.314499,2070000
2017-02-13,172.490005,172.490005,170.779999,171.960007,164.276276,2272200
2017-02-14,171.660004,173.639999,171.550003,173.630005,165.871658,2244700
2017-02-15,173.179993,175.000000,173.059998,175.000000,167.180435,2346500
2017-02-16,175.100006,175.830002,174.509995,175.750000,167.896927,2206500
2017-02-17,175.470001,176.500000,174.479996,175.860001,168.002014,2424400
2017-02-21,176.550003,177.000000,176.000000,176.940002,169.033752,2317000
2017-02-22,177.070007,177.089996,175.070007,176.509995,168.622955,1815200
2017-02-23,176.520004,177.039993,175.210007,175.850006,167.992462,2599900
2017-02-24,175.220001,177.710007,175.119995,177.559998,169.626053,1684300
2017-02-27,177.330002,177.850006,176.550003,177.619995,169.683365,2340400
2017-02-28,176.949997,177.869995,175.479996,177.179993,169.263016,2992100
2017-03-01,177.369995,178.710007,177.220001,177.860001,169.912643,2352300
2017-03-02,177.500000,178.250000,176.509995,177.979996,170.027283,3190300
2017-03-03,170.699997,171.889999,169.899994,170.259995,162.652222,10396500
2017-03-06,169.410004,170.330002,166.110001,166.729996,159.279968,5793600
2017-03-07,166.539993,168.619995,166.539993,167.000000,159.537918,2811900
2017-03-08,167.000000,167.410004,166.160004,166.240005,158.811859,2375900
2017-03-09,166.399994,166.789993,165.119995,165.770004,158.362869,1993700
2017-03-10,166.490005,166.500000,164.979996,165.369995,157.980728,2164200
2017-03-13,164.850006,165.110001,164.300003,164.550003,157.197388,2127700
2017-03-14,164.210007,165.320007,164.100006,165.240005,157.856552,1974400
2017-03-15,165.570007,166.539993,164.830002,166.539993,159.098465,2079700
2017-03-16,166.779999,167.669998,166.259995,167.059998,159.595230,2726600
2017-03-17,168.059998,168.350006,167.070007,167.809998,160.311691,3976000
2017-03-20,167.759995,168.289993,166.800003,167.440002,159.958252,1603300
2017-03-21,167.509995,168.800003,166.649994,166.779999,159.327744,2241900
2017-03-22,167.320007,167.970001,167.039993,167.679993,160.187500,1534200
2017-03-23,168.000000,168.419998,166.429993,166.899994,159.442368,1430500
2017-03-24,167.369995,167.460007,165.660004,166.020004,158.601700,1410400
2017-03-27,165.529999,166.320007,165.320007,166.149994,158.725891,1212300
2017-03-28,166.110001,167.050003,165.149994,166.770004,159.318192,1446400
2017-03-29,166.279999,167.479996,166.149994,167.429993,159.948685,1216700
2017-03-30,167.300003,168.179993,166.759995,167.889999,160.388123,1034000
2017-03-31,167.589996,168.169998,167.130005,167.690002,160.197067,1720300
2017-04-03,167.740005,168.300003,166.399994,166.699997,159.251312,1547900
2017-04-04,166.600006,167.320007,166.110001,167.250000,159.776733,1322400
2017-04-05,167.289993,168.399994,166.720001,167.000000,159.537918,1715200
2017-04-06,169.679993,172.110001,169.309998,170.020004,162.422958,3313800
2017-04-07,169.699997,171.000000,169.429993,170.619995,162.996155,1510000
