Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,77.470001,78.080002,76.139999,76.379997,76.379997,5016200
2016-11-15,77.000000,78.419998,77.000000,77.620003,77.620003,2639300
2016-11-16,77.599998,78.940002,77.029999,78.830002,78.830002,2454200
2016-11-17,78.760002,80.169998,78.540001,79.620003,79.620003,2642700
2016-11-18,79.800003,80.610001,78.760002,78.989998,78.989998,3180500
2016-11-21,79.070000,79.180000,77.559998,78.260002,78.260002,3061800
2016-11-22,78.519997,78.559998,76.930000,77.750000,77.750000,2737200
2016-11-23,77.900002,79.699997,77.769997,79.349998,79.349998,2853600
2016-11-25,79.180000,79.919998,78.540001,79.169998,79.169998,780400
2016-11-28,79.419998,79.559998,78.529999,78.730003,78.730003,2350300
2016-11-29,78.949997,81.690002,78.930000,81.370003,81.370003,3376600
2016-11-30,81.290001,81.370003,79.150002,79.239998,79.239998,3417700
2016-12-01,79.209999,79.279999,75.169998,75.580002,75.580002,4920000
2016-12-02,75.650002,76.470001,73.739998,75.860001,75.860001,4093800
2016-12-05,76.169998,77.830002,75.500000,77.449997,77.449997,2501500
2016-12-06,77.629997,78.029999,76.500000,76.870003,76.870003,2303700
2016-12-07,76.849998,78.110001,76.419998,77.949997,77.949997,3289700
2016-12-08,78.029999,78.599998,77.400002,77.779999,77.779999,3445700
2016-12-09,77.809998,79.070000,77.809998,78.750000,78.750000,2073900
2016-12-12,78.879997,80.629997,78.510002,80.620003,80.620003,3926900
2016-12-13,80.459999,82.599998,80.459999,80.760002,80.760002,3462800
2016-12-14,80.610001,81.680000,79.980003,80.699997,80.699997,2573600
2016-12-15,81.320000,82.620003,80.739998,81.510002,81.510002,3957900
2016-12-16,81.440002,81.500000,79.169998,79.510002,79.510002,4071400
2016-12-19,79.309998,80.529999,79.150002,79.500000,79.500000,2197500
2016-12-20,79.599998,80.260002,79.260002,79.500000,79.500000,2218100
2016-12-21,79.489998,80.180000,79.129997,79.660004,79.660004,2181700
2016-12-22,79.739998,80.150002,79.180000,79.790001,79.790001,1206800
2016-12-23,79.849998,81.120003,79.570000,80.669998,80.669998,2017100
2016-12-27,80.989998,81.760002,80.750000,81.080002,81.080002,1246800
2016-12-28,81.070000,81.260002,79.970001,80.379997,80.379997,1314200
