Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,81.040001,81.879997,80.779999,81.760002,79.801682,4326200
2016-11-15,81.900002,83.349998,81.370003,83.279999,81.659813,6651600
2016-11-16,83.250000,83.360001,82.449997,83.190002,81.571579,3831500
2016-11-17,83.070000,84.099998,82.250000,83.989998,82.356010,3808700
2016-11-18,83.529999,83.870003,82.559998,83.269997,81.650017,5013300
2016-11-21,83.150002,84.510002,83.040001,84.419998,82.777641,3110700
2016-11-22,84.470001,84.720001,83.769997,83.919998,82.287369,3500300
2016-11-23,83.930000,84.150002,83.610001,84.050003,82.414841,2788000
2016-11-25,84.160004,84.529999,84.000000,84.430000,82.787445,1586900
2016-11-28,84.099998,85.570000,84.050003,85.349998,83.689552,3956800
2016-11-29,85.330002,86.260002,84.660004,85.529999,83.866043,3686500
2016-11-30,85.750000,85.839996,84.410004,84.730003,83.081619,5951900
2016-12-01,84.830002,85.050003,83.699997,84.220001,82.581528,4463500
2016-12-02,84.389999,85.440002,83.889999,85.110001,83.454224,3928600
2016-12-05,85.110001,85.269997,84.620003,85.000000,83.346367,2800200
2016-12-06,84.820000,85.000000,84.290001,84.709999,83.061996,2911400
2016-12-07,84.160004,85.040001,84.040001,84.989998,83.336555,4858400
2016-12-08,85.070000,85.220001,83.800003,84.279999,82.640366,3142800
2016-12-09,84.769997,86.680000,84.519997,86.389999,84.709320,3408100
2016-12-12,85.879997,86.910004,85.879997,86.639999,84.954453,2206600
2016-12-13,86.830002,87.940002,86.250000,87.730003,86.023254,3547000
2016-12-14,87.769997,88.000000,85.519997,85.739998,84.071960,5117300
2016-12-15,85.629997,86.300003,85.019997,85.720001,84.052361,3461600
2016-12-16,86.220001,87.190002,85.839996,86.080002,84.405342,7098200
2016-12-19,86.239998,86.440002,85.589996,86.059998,84.385735,3048300
2016-12-20,87.000000,87.419998,85.889999,86.279999,84.601456,4141700
2016-12-21,86.220001,86.419998,85.699997,85.849998,84.179825,2166700
2016-12-22,85.500000,85.849998,83.900002,84.269997,82.630554,3983100
2016-12-23,84.330002,84.769997,83.750000,84.279999,82.640366,2181000
2016-12-27,84.459999,85.290001,84.209999,84.489998,82.846283,2765600
2016-12-28,84.510002,84.839996,83.419998,83.589996,81.963791,4003200
2016-12-29,83.470001,83.879997,83.160004,83.480003,81.855934,3697300
2016-12-30,83.459999,83.620003,82.419998,82.760002,81.149933,3343200
2017-01-03,83.099998,83.379997,82.300003,82.959999,81.346039,4942700
2017-01-04,83.300003,83.500000,82.779999,82.980003,81.365654,4125500
2017-01-05,82.000000,83.370003,80.309998,83.029999,81.414680,7401400
2017-01-06,83.080002,83.690002,82.449997,83.099998,81.483322,3949700
2017-01-09,82.809998,82.910004,81.949997,82.550003,80.944023,3293000
2017-01-10,82.410004,83.400002,82.000000,82.669998,81.061684,3037900
2017-01-11,83.010002,85.260002,83.010002,84.430000,82.787445,6573500
2017-01-12,84.150002,84.269997,83.349998,83.919998,82.287369,3242300
2017-01-13,83.940002,84.139999,83.370003,83.820000,82.189316,2934400
2017-01-17,83.529999,84.550003,83.500000,84.220001,82.581528,3329700
2017-01-18,84.209999,84.400002,83.629997,84.120003,82.483482,2938600
2017-01-19,84.080002,84.089996,83.339996,83.489998,81.865738,2615700
2017-01-20,84.110001,84.480003,81.010002,81.720001,80.130165,11067900
2017-01-23,81.400002,82.489998,81.349998,81.550003,79.963478,3704300
2017-01-24,81.720001,81.809998,80.620003,81.230003,79.649704,4245800
2017-01-25,81.419998,82.320000,81.330002,82.029999,80.434143,5111500
2017-01-26,81.870003,82.260002,81.220001,81.269997,79.688919,2535300
2017-01-27,81.599998,82.279999,80.739998,81.500000,79.914452,4612900
2017-01-30,82.000000,82.230003,81.040001,81.480003,79.894836,5047100
2017-01-31,81.260002,81.940002,81.089996,81.940002,80.345901,3424400
2017-02-01,81.199997,81.690002,80.160004,81.040001,79.463402,5080000
